Person Name mentioned in the news,Organization Name mentioned in the news,City/ State mentioned under the news,Created_date_time,Key word Used for identify the article,HDFC Bank Name under News / Article,Web link of news
"Mumbai News, Delhi News, HT Weekend, HT Tech, HT Friday, HT School, HT Bangla, Hindustan Times, HT Digital Streams Ltd., Covaxin.(PTI, WHO, Union, PTI PHOTO, Election Commission, AP, AFP PHOTO, Hotstar, Netflix, ICC, Jaish-e-Mohammed, JeM, the Pakistan Air Force, IAF, Congress, BJP, All India Anna Dravida Munnetra Kazhagam, DGMO, Indian Cricket Team, ECB, the Indian Premier League, Rajasthan Royals, Kolkata Knight Riders, Lijjat, Instagram, St. Jude Children's Research Hospital, REUTERS, Reuters, SpaceX, Supreme Court, HT Worldview, HT City Daily News, NASA, Har-Anand Publications, SC, NTCA, UN, National League for Democracy, EMA, Regeneron, FDA, J&J, Bank of America, Bloomberg, Sevilla, NorthEast United FC, Kerala Blasters, Highlanders, PSG, Caen, Champions League, Barcelona, Liverpool, Everton, the Premier League, NSE, Reliance Jio, Image)(BLOOMBERG NEWS, UPSC, The Union Public Service Commission, SSC, HT PHOTO, CAPFs, HT Photo, the Help Educate, Udhyam, DVET, IIM Bangalore, Maruti Suzuki, the Indian Institute of Management Bangalore, IIMB, SIT, the District Hospital, Vanshakti, Cidco, Navi Mumbai Municipal Corporation, the Navi Mumbai Municipal Corporation, NMMC, JNPT, the Indian Pro Music League, Delhi Vidhan Sabha, FOX SEARCHLIGHT PICTURES, Cabinet,","USA, India, Bengaluru, Gurugram, Chandigarh, Kolkata, England, New Delhi, Bhubaneswar, Odisha, Mumbai, Maharashtra, Britain, Balakot, Pakistan, Rajasthan, Bahawalpur, Puducherry, Tamil Nadu, Arunachal, Manipur, Goa, Karnataka, Madhya Pradesh, Ahmedabad, Motera, Gangubai Kathiawadi, Roohi, Ropalidia, West Bengal, Kerala, Leichtlingen, Yangon, Myanmar, Senegal, Nagpur, Pandharkawada, EU, the United States, Sevilla, Brazil, Liverpool, Loving County, Texas, UP, Rampur, Covid, Capital, Kalyanpuri, Modinagar, Khichripur, Ghaziabad, Dombivli, MIDC, Navi Mumbai, Nerul,",nan,2021-02-26 19:27:06.067998,"terror, ",No,https://www.hindustantimes.com/
"IAF, SC, National Medical Commission, BJP, EC, NCDC,","Delhi, India, Bhopal, Bhubaneswar, Ranchi, Raipur, Hyderabad, China-Yunnan, West Bengal, Balakot, Maha, Covid, UK, South Africa, Brazil,",nan,2021-02-26 19:28:22.298310,"terror, ",No,https://www.dailypioneer.com/
"Supreme Court, Parliament, Coronil, Finance Commission, NASA, BJP,","West Bengal, Tamil Nadu, Kerala, Nepal, Myanmar, Puducherry, Australia, Punjab, Madhya Pradesh, India, Pangong Tso,",nan,2021-02-26 19:28:44.587257,"terror, ",No,https://www.thehindu.com/opinion/editorial/
"IIT Guwahati, NASA, DRDO, Serum Instituteâs, IIT Guwahati's, AFP, the International Space Station, ISRO, Progress, WIHG, WHO, Pfizer, Govt, BJP, Congress, PSC, BBMP, HC, Supreme Court, EC, Centre for Science and Environment, Young World Club, THG PUBLISHING PVT LTD, The Hindu,","West Bengal, Tamil Nadu, Kerala, China, Australia, India, Pangong Tso, U.S., Chandipur, US, Canada, Russia, Uttarakhand, Bhimbetka, Bhopal, UAE, Hyderabad, Punjab, UK, Hapur, Pakistan, Jharkhand, Maharashtra, Gujarat, England, Bengaluru, Andhra Pradesh, Karnataka, Delhi, Mumbai, Madurai, Bihar, TN, Puducherry, Assam, Coimbatore,",nan,2021-02-26 19:35:40.226979,"terror, ",No,https://www.thehindu.com/sci-tech/science/
"SBI, Mirae Asset Emerging Bluechip Fund, ICICI, Nokia, ET Markets, ET India Inc., The Economic Times Digital Payments Forum, Lok Sabha, ET TV, ByteDance, RBI, DGCA, UN, TMC, Serum Institute of India, Health Canada, Volkswagen, IRCTC, BJP, NHAI, Finance Ministry, NHRC, Defence Ministry, NIA, Qaeda, Congress, AAP, Dredging Corporation, upGrad, Army, Executive Steering Group, Ind'l Goods /, Airtel Digital, Tata Group's, Ferbine, Verizon, MG Motor, Tata Power, Nestle, Bharat Biotech, Covaxin, IOC, Union, Shipping and Ports Minister, ICC Board, BCCI, EOI, ISRO, NASA, India Unlimited News, Amazon India, TCLL, Sports Authority, Delhi News, Treasury, D-Street, NSE, MF, Reliance Jio, Ministry of Corporate Affairs, Infosys, TCS, Sensex Live, Health News, IT News, IT Security News, AdAge India, Times of India, Bombay Times, ET Prime, Times Internet Limited, Bennett, Coleman & Co. Ltd., Times Syndication Service,","India, UAE, Saudi Arabia, US, Bihar, Delhi, Mumbai, Canada, Jaipur, UTs, Pakistan, Qatar, J&K, Afghanistan, Chennai, Brazil, Haldia, China, Gujarat, West Bengal, Kerala, Puducherry, Tamil Nadu, Bangalore, Colombia, New Delhi,",nan,2021-02-26 19:41:14.669522,"terror, ",No,https://economictimes.indiatimes.com/news
"Reuters, AFP, the Washington Post, the U.S. Office of the Director of National Intelligence, Congress, MBS, the White House, Hindu, Toyota, Hyundai, FATF, U.N., Bharat Biotech, THG PUBLISHING PVT LTD, TikTok, ByteDance, Pfizer, Serum Institute, Facebook, USDP, The Hindu, Motera, Qualcomm, Govt, BJP, PSC, BBMP, HC, Supreme Court, EC, Centre for Science and Environment, Young World Club,","U.S., Pangong Tso, Washington, Istanbul, DC, U.S.-Saudi, Riyadh, Saudi Arabia's, Turkey, Kingdom, Yemen, Iran, kingdom, Virginia, INDIA, Sri Lanka, Nigeria, India, Britain, UK, Vietnam, Senegal, Morocco, Caymans, Papua New Guineaâs, Pakistan, China, Brazil, Ghana, Iraq, South Africa, Haiti, Myanmar, India Pakistan, Kerala, Gulmarg, West Bengal, Tamil Nadu, Hapur, Jharkhand, Maharashtra, Hyderabad, Gujarat, England, Bengaluru, Andhra Pradesh, Karnataka, Delhi, Mumbai, Madurai, Bihar, TN, Puducherry, Assam, Coimbatore,",nan,2021-02-26 19:41:57.709212,"terror, ",No,https://www.thehindu.com/news/international/saudi-crown-prince-mohammed-bin-salman-approved-jamal-khashoggi-assassination-us-report/article33945316.ece
"UN, IS, UN Security Council, White House, Pentagon, FATF,","Bangla, Hindi, India, US, Moscow, Syria, UK, Britain, Taiwan, China, Myanmar, Pak, Japan, UAE, Papua New Guineaâs, North Korea, Haiti, Singapore,",nan,2021-02-26 19:44:58.020745,"terror, terror financing, ",No,https://indianexpress.com/section/world/
"Pentagon, Legislative Council, BJP, CBI, Congress, OTT, ZEE5, AltBalaji, The Crown, SonyLIV, MCU, Jamai Raja 2.0, Pixar, WandaVision, Marvel, SWORD, Pathan, Bengal Assembly, ICC, Bamboo Training and Research Institute, CID, FATF, Centre, FIFA, PSU, UPSC, CSK, KKR, CBSE, Bangalore News, Express Group, The Indian Express, The Financial Express, MyInsuranceClub, DNPA, The Indian Express [,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Mumbai, Luca, Anupamaa, Imlie, Maharashtra, Pune, Motera, Pak, Bombay, Rajasthan, Kerala, Sattur, Tamil Nadu, Arunachal Pradesh, Manipur, Bangalore, Delhi, West Bengal, Loksatta,",nan,2021-02-26 19:45:14.096320,"terror, terror financing, ",No,https://indianexpress.com/section/entertainment/
"Pentagon, Legislative Council, BJP, CBI, Congress, BCCI, The Indian Express, ICC, Chelsea, Atletico Madrid, UEFA Champions League, Pro Kabaddi Leagueâs, the Pro Kabaddi League, Motera, ICC Board Meet, EOI, Manchester United, AC Milan, UEFA Europa League, Arsenal, Olympiakos, Tottenham Hotspur, Dinamo Zagreb, Ajax, BSC Young Boys, NBA, I-League, Baroda, Liverpool, CAS, the Pakistan Super League, Assam Police, England Legends, Road Safety World Series, Bamboo Training and Research Institute, CID, FATF, Centre, FIFA, PSU, UPSC, CSK, KKR, CBSE, Bangalore News, Express Group, The Financial Express, MyInsuranceClub, DNPA, The Indian Express [,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Motera, City, Uzbekistan, Sofia, Bulgaria, London, England, Kiev, Ukraine, Hungary, Poland, Rome, the United States, Chhattisgarh, Tamil Nadu, Jharkhand, Portugal, Iran, Mumbai, UAE, Assam, Maharashtra, Pune, Pak, Bombay, Rajasthan, Kerala, Sattur, Arunachal Pradesh, Manipur, Bangalore, Delhi, West Bengal, Loksatta,",nan,2021-02-26 19:45:42.419072,"terror, terror financing, ",No,https://indianexpress.com/section/sports/
"Pentagon, Legislative Council, BJP, CBI, Congress, Veza, Chemould Prescott Road, Experimenter, Jhaveri Contemporary, Raw Mangoâs, CBS, Prada, Gangubai Kathiawadi, Xiaomi, Twitter, FBI, ICC, Bamboo Training and Research Institute, CID, FATF, Centre, FIFA, PSU, UPSC, CSK, KKR, CBSE, Bangalore News, Express Group, The Indian Express, The Financial Express, MyInsuranceClub, DNPA, The Indian Express [,","Bangla, Hindi, India, US, Syria, J&K, TN, Puducherry, Roohi, Sonamarg, Maharashtra, Mumbai, Pune, Motera, Pak, Bombay, Rajasthan, Kerala, Sattur, Tamil Nadu, Arunachal Pradesh, Manipur, Bangalore, Delhi, West Bengal, Loksatta,",nan,2021-02-26 19:46:31.880771,"terror, terror financing, ",No,https://indianexpress.com/section/lifestyle/
